Tweet,message,match,Polarity
1,The money Nigeria uses to mainta,None,Neutral
2,Yet Released In Japan Minecraft Mine Craft Rocket Pencil 3 Piece Set minecraft game CA,None,Neutral
3,RT susantananda3 This strange movement of the land of the forest is called the phenomenon of movement of the forest floor and usually o,strange,Negative
4,CBSSportsGang NFLonCBS Bills mafia are all over the country plus a big chunk of Canada,None,Neutral
5,LA 12 9 Shadow,None,Neutral
6,Borderlands 3 PS4 ARTIFACT GOD ROLL CUTPURSE DEATHLESS borderlands3 ps4 CA,None,Neutral
7,Low 30s and rain snow,None,Neutral
8,RT Huawei Canada Our investments in Canada have grown 243 over the past six years That s more jobs and more money in Canada for all of,None,Neutral
9,RT Eighteen K Winnipeg is Canada s Florida,None,Neutral
10,RT cblackst This is a turning point in reconciliation Canada either fully complies with the Tribunal s rulings amp ends discrimination in,None,Neutral
11,He says gays in Gaza are executed in accordance with Sharia law amp that Sharia,None,Neutral
12,RT perlmutations As I was saying shooting a little indie in Canada and just learned something interesting Did you know that Canadians o,interesting,Positive
13,RT perlmutations As I was saying shooting a little indie in Canada and just learned something interesting Did you know that Canadians o,interesting,Positive
14,RT CBCEdmonton Unions told thousands more job cuts coming to Alberta public service,None,Neutral
15,RT 211Alberta 211 will be available across Alberta in Fall 2020 We re excited to collaborate in this initiative to support mental health,available excited support,Positive
16,KanColle STAFF Saw the new kanmusu coming out this round Hope that a kanmusu from Canada will come next round Th,None,Neutral
17,RT ThatBrightDude When Nigerians hear that there s free Visa to Canada,free,Positive
18,RT perlmutations As I was saying shooting a little indie in Canada and just learned something interesting Did you know that Canadians o,interesting,Positive
19,BBYCanadaDeals sony canada Bought this for 799 99 last week vip sale It s now 699 99 I can get back my 100,None,Neutral
20,RT globeandmail Alberta s chief electoral officer says the decision to shift duties and remove the election commissioner will have no imp,None,Neutral
21,RT sudarsansand Welcome to India s biggest SandArt festival at Konark from 1st December 5th More then hundred sandartist across the cou,None,Neutral
22,RT MichelleNGraff UCP scared away tech companies in Edmonton too,scared,Negative
23,It has become increasingly clear that in many cases BlackChildren are held back singled out and disproportionate,None,Neutral
24,RT lovelyminimonie This is such a loss for us USA ARMYs Canada ARMYs Mexican ARMYs Peru ARMYs Puerto Rican ARMYs and pacific islands,loss,Negative
25,RT hobijimin Hoseok calling Jimin sexy for paying for their clothes the way he flirted with Jungkook in that run Canada episode when Koo,sexy,Positive
26,It is a fact people do cross the border between new york and canada,None,Neutral
27,RT CBCNB French government reverses decision to close Moncton consulate,None,Neutral
28,RT ringettealberta Game 2 of the best of 3 series goes tomorrow Junior Team Canada is looking to win their 3rd straight title while Seno,best win,Positive
29,MrJonCryer In Canada we do pay more income tax but less for investing and saving money I know this from US citize,None,Neutral
30,Canada is the new USA In terms of opportunity,None,Neutral
31,RT phoebe onelove I am en route to MA amp then from there on to Canada if you would like to help me out by buying 8x10s pre ordering a,like,Positive
32,RT sudarsansand Welcome to India s biggest SandArt festival at Konark from 1st December 5th More then hundred sandartist across the cou,None,Neutral
33,thecanadianeh,None,Neutral
34,RT perlmutations As I was saying shooting a little indie in Canada and just learned something interesting Did you know that Canadians o,interesting,Positive
35,RT MichaelJPartyka perlmutations BREAKING No one ever dies in Canada Of anything Anything at all,dies,Negative
36,itdcanada vancouver,None,Neutral
37,RT CTVNews Despite U S calls for more Canada s defence spending set to stay the same,None,Neutral
