Term,Canada
Canada appeared in152documents,Total words(m),Frequency(f)
Article# 98,99,1
Article# 99,100,2
Article# 94,95,2
Article# 63,64,1
Article# 143,144,1
Article# 101,102,1
Article# 103,104,2
Article# 154,155,2
Article# 125,126,2
Article# 121,122,2
Article# 123,124,2
Article# 101,102,2
Article# 122,123,2
Article# 119,120,2
Article# 127,128,2
Article# 134,135,1
Article# 137,138,5
Article# 120,121,5
Article# 138,139,1
Article# 127,128,5
Article# 125,126,6
Article# 85,86,3
Article# 114,115,3
Article# 131,132,5
Article# 128,129,2
Article# 127,128,6
Article# 142,143,3
Article# 127,128,5
Article# 137,138,6
Article# 131,132,2
Article# 126,127,2
Article# 113,114,1
Article# 118,119,3
Article# 124,125,6
Article# 129,130,2
Article# 119,120,3
Article# 142,143,1
Article# 85,86,2
Article# 128,129,5
Article# 93,94,2
Article# 107,108,2
Article# 110,111,2
Article# 144,145,1
Article# 91,92,2
Article# 93,94,2
Article# 125,126,3
Article# 115,116,2
Article# 117,118,2
Article# 134,135,2
Article# 127,128,1
Article# 129,130,2
Article# 146,147,1
Article# 136,137,1
Article# 134,135,3
Article# 123,124,5
Article# 133,134,2
Article# 138,139,3
Article# 103,104,2
Article# 94,95,2
Article# 135,136,3
Article# 130,131,2
Article# 128,129,3
Article# 94,95,2
Article# 103,104,2
Article# 119,120,1
Article# 122,123,1
Article# 133,134,4
Article# 126,127,2
Article# 132,133,1
Article# 119,120,2
Article# 109,110,1
Article# 128,129,2
Article# 125,126,2
Article# 138,139,2
Article# 135,136,2
Article# 141,142,5
Article# 125,126,2
Article# 126,127,2
Article# 131,132,2
Article# 98,99,1
Article# 146,147,2
Article# 120,121,2
Article# 114,115,1
Article# 130,131,1
Article# 132,133,3
Article# 124,125,2
Article# 138,139,2
Article# 109,110,1
Article# 144,145,4
Article# 124,125,3
Article# 131,132,1
Article# 123,124,2
Article# 115,116,1
Article# 104,105,1
Article# 106,107,3
Article# 103,104,1
Article# 107,108,2
Article# 100,101,1
Article# 94,95,1
Article# 144,145,1
Article# 97,98,2
Article# 121,122,2
Article# 110,111,2
Article# 78,79,1
Article# 109,110,1
Article# 96,97,1
Article# 96,97,1
Article# 108,109,2
Article# 94,95,1
Article# 102,103,1
Article# 103,104,2
Article# 126,127,1
Article# 98,99,2
Article# 137,138,5
Article# 103,104,2
Article# 132,133,4
Article# 141,142,4
Article# 131,132,3
Article# 114,115,3
Article# 104,105,1
Article# 123,124,2
Article# 130,131,3
Article# 130,131,3
Article# 116,117,2
Article# 91,92,2
Article# 112,113,4
Article# 130,131,2
Article# 130,131,2
Article# 119,120,1
Article# 119,120,2
Article# 134,135,1
Article# 123,124,1
Article# 122,123,1
Article# 108,109,2
Article# 87,88,1
Article# 87,88,1
Article# 89,90,1
Article# 108,109,1
Article# 128,129,1
Article# 113,114,3
Article# 114,115,2
Article# 108,109,2
Article# 99,100,1
Article# 101,102,2
Article# 84,85,1
Article# 113,114,2
Article# 86,87,2
Article# 108,109,1
Article# 119,120,5
Article# 131,132,1
Article# 112,113,2
Article# 112,113,2
